transport	feeling	tired	direct_degree	direct_NS	km	tutor
foot	NA	good	0	N	0	Prabesh
bike	NA	good	0	N	2	Prabesh
bus	NA	good	0	N	2	Prabesh
bus	NA	good	0	N	3	Prabesh
foot	NA	good	0	N	3.5	Prabesh
bus	NA	good	0	N	3	Prabesh
bike	NA	okay	0	N	55	Prabesh
bus	NA	okay	0	N	2	Prabesh
bike	NA	okay	0	N	85	Prabesh
bike	NA	okay	0	N	40	Prabesh
bike	NA	good	0	N	3	Prabesh
bike	NA	good	180	S	3	Prabesh
foot	NA	okay	270	W	3	Prabesh
car	NA	okay	270	W	4	Prabesh
foot	2.5	2	0	N	0.2	heike
foot	3.5	3	45	NE	2.5	heike
foot	4.5	4.5	45	NE	2.5	heike
foot	5	4.5	45	NE	2	heike
car	7.5	7.5	340	NNW	0.3	heike
bike	6.5	6	315	NW	8	heike
bike	7	6	315	NW	1	heike
bike	7	6.5	315	NW	2.5	heike
bike	7	7	315	NW	1	heike
bus	7.5	7	315	NW	3	heike
bike	6	5.5	180	S	2.5	heike
foot	5	5	105	SEE	0.5	heike
bike	6	5.5	220	SW	0.2	heike
bike	6	6	250	SWW	60	heike
bike	NA	sick	0	N	0.1	Lisa
bike	NA	sick	0	N	0.1	Lisa
bike	NA	sick	0	N	4.5	Lisa
bike	NA	fine!	0	N	50	Lisa
bus	NA	tired	0	N	4	Lisa
bus	NA	tired	0	N	2.3	Lisa
bus	NA	tired	0	N	2.3	Lisa
bike	NA	sick	45	NE	5	Lisa
bike	NA	okay	45	NE	1.5	Lisa
bike	NA	fine!	45	NE	1.5	Lisa
bike	NA	fine!	45	NE	2.5	Lisa
bus	NA	tired	45	NE	0.2	Lisa
foot	NA	tired_and_in_desperate_need_for_a_coffee	45	NE	3	Lisa
foot	NA	tired_and_in_desperate_need_for_a_coffee	45	NE	4	Lisa
foot	NA	tired_and_in_desperate_need_for_a_coffee	45	NE	3	Lisa
foot	NA	tired_and_in_desperate_need_for_a_coffee	45	NE	3.5	Lisa
foot	NA	tired_and_a_bit_sick	45	NE	4	Lisa
bike	NA	sick	315	NW	5	Lisa
bike	NA	fine!	315	NW	2.5	Lisa
bike	NA	fine!	315	NW	0.2	Lisa
bus	NA	fine!	315	NW	0.5	Lisa
foot	NA	tired_and_in_desperate_need_for_a_coffee	180	S	4	Lisa
foot	NA	tired_and_a_bit_sick	220	SW	3.5	Lisa
bike	NA	sick	270	W	4	Lisa
bike	NA	sick	270	W	5	Lisa
bike	NA	okay	270	W	4.5	Lisa
bike	NA	fine!	270	W	2	Lisa
foot	NA	tired	270	W	0.2	Lisa
foot	NA	tired_and_in_desperate_need_for_a_coffee	270	W	4	Lisa
foot	NA	good	90	E	2	Prabesh
bike	NA	good	90	E	2	Prabesh
bike	NA	good	0	N	3	Prabesh
bike	NA	okay	0	N	3	Prabesh
bike	NA	good	0	N	2	Prabesh
bike	NA	okay	0	N	3	Prabesh
foot	NA	good	0	N	0	Prabesh
bike	NA	good	0	N	2	Prabesh
car	NA	good	0	N	2	Prabesh
bus	NA	good	0	N	3	Prabesh
foot	NA	good	0	N	3.5	Prabesh
bus	NA	good	0	N	3	Prabesh
bike	NA	okay	0	N	55	Prabesh
bus	NA	okay	0	N	2	Prabesh
bike	NA	okay	0	N	85	Prabesh
bike	NA	okay	0	N	40	Prabesh
bike	NA	good	0	N	3	Prabesh
car	NA	good	180	S	3	Prabesh
car	NA	okay	270	W	3	Prabesh
car	NA	okay	270	W	4	Prabesh
bus 	2.5	2	0	N	0.2	heike
bus 	3.5	3	45	NE	2.5	heike
bus	4.5	4.5	45	NE	2.5	heike
car	NA	sick	45	NE	5	Lisa
car	NA	okay	45	NE	1.5	Lisa
car	NA	fine!	45	NE	1.5	Lisa
car	NA	fine!	45	NE	2.5	Lisa
car	2.5	2	0	N	0.2	heike
car	3.5	3	45	NE	2.5	heike
car	4.5	4.5	45	NE	2.5	heike
car	NA	sick	45	NE	5	Lisa
car	NA	okay	45	NE	1.5	Lisa
car	NA	fine!	45	NE	1.5	Lisa
car	NA	fine!	45	NE	2.5	Lisa
car	2.5	2	0	N	0.2	heike
car	3.5	3	45	NE	2.5	heike
car	4.5	4.5	45	NE	2.5	heike
